Date,[Author Year] {Qubit},DOI,Published?,Measured Lab,Notes,EJ (hGHz),EC (hGHz),EL (hGHz),fr (GHz),kappa/2pi (MHz),g/2pi (hMHz),Coherence Loc?,chi01 (hMHz),T1 (us),T2R (us),T2E (us),Fid_ro,Grounded/Floating,n_crit,n_ro,t_ro (us),Quantum Amplifier,Drive Lines,Bandaging,Cavity Type,Flux Noise Amplitude (uPhi0),Cap. Pad Material,Qubit Image,Measured Area/Perim Image,Loop area (um^2),Loop Perimeter (um),Measured JJ Area,JJ in Array area (um^2),n_JJ_in_Array,Special Name,Substrate,Superinductance,# Other Qb,Jc (uA/um^2),tan(deltaC) (x10^6)
2016/10/14,[Smith 2016] A,10.1103/PhysRevB.94.144507,Published,Yale,,6.2,3.65,0.419,,5,,,,,,,,grounded,,,30,None,global flux,None,Antenna,,Al,,,,,,,,,Sapphire,Bridge-less JJ,Zero,,
2014/12/08,[Vool 2014],10.1103/PhysRevLett.113.247001,Published,Yale,"Antenna readout. Seems like chi is at half flux, as this is where the study exists, but it isn’t fully clear",10,3.6,0.46,,4.7,,half-flux,1,,,,,floating,,2.5,5,JPC,global flux,None,Antenna,,Al,"Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_111313.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_112047.png",Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_181351.png,262,92,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_112047%201.png,0.6,95,,,Bridge-less JJ,Zero,,
2014/04/17,[Pop 2014] B,10.1038/nature13017,Published,Yale,,11.2,3.34,0.496,8.894,4,,half-flux,0.5,1000,14,21,,floating,,,,None,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-01_221515.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_175914.png,204,67,,,95,,Sapphire,Bridge-less JJ,Zero,,
2014/04/17,[Pop 2014] A,10.1038/nature13017,Published,Yale,,10.2,3.6,0.46,8.894,4,,half-flux,0.5,1000,7.9,8.5,,floating,,,,None,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-01_221515.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_175914.png,204,67,,,95,,Sapphire,Bridge-less JJ,Zero,,
2012/09/27,"[Bell 2012] ",10.1103/PhysRevLett.109.137003,Published,Rutgers,"Tunable Ej device. ",,,,,,,,,,,,,floating,,,,None,global flux,,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_124414.png,,,,,,,,Si,,Zero,,
2012/09/27,[Bell 2012] A,10.1103/PhysRevLett.109.137003,Published,Rutgers,"Tunable Ej device. ",,,,,,,,,,,,,floating,,,,None,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_124414.png,,,,,,,,Si,Al,Zero,,
2012/01/11,[Manucharyan 2012] B,10.1103/PhysRevB.85.024521,Published,Yale,Data extracted from figures 3 and 4,12,2.46,0.89,,,,half-flux,,,4,,,floating,,,,None,global flux,None,2D,,Al,"Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_110112.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_105156.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-18_164349.png",Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_181203.png,78,50,,0.4,43,,Si,Dolan JJ Array,Zero,,
2012/01/11,[Manucharyan 2012] A,10.1103/PhysRevB.85.024521,Published,Yale,"Coherence data extracted from figures 3 and 4. For JJ area, two length measurements from second image.",8.9,2.5,0.525,8.175,20,,half-flux,,6,0.25,,,floating,,,,None,global flux,None,2D,,Al,"Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_110112.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_105156.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-18_164349.png",Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_181203.png,78,50,,0.4,43,,Si,Dolan JJ Array,Zero,,
2009/10/02,[Manucharyan 2009],10.1126/science.1175552,Published,Yale,Doesn’t measure coherence other than linewidths,9,2.5,0.52,8.17,20.4,0.135,,,,,,,grounded,,,,None,global flux,None,2D,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/manucharyan2009.png,,,,,,44,Fluxonium,Si,Dolan JJ Array,Zero,,
,Nidoran (F) qA,,Unpublished,SchusterLab (Stanford),Also known as FFv5 C19,6.1,0.85,0.183,6.27,0.55,,half-flux,0.39,63,4.5,57.2,,grounded,,,,None,on-chip flux,Ion-Mill During JJ,2D,,Ta,,,,,,0.396,236,"Nidoran (F) ",Sapphire,Dolan JJ Array,Zero,,
